gene,NPC_prevalence,OPC_prevalence,AC_prevalence,MES_prevalence,SRI,worst_state,state_imbalance,wang_NPC,wang_OPC,wang_AC,wang_MES,wang_SRI,wang_worst_state,neftel_cat,wang_cat
ECT2,0.105,0.286,0.048,0.048,0.048,AC,0.238,0.545,0.591,0.409,0.409,0.409,AC,low,moderate
GALNT15,0.0,0.143,0.19,0.048,0.0,NPC,0.19,0.0,0.136,0.318,0.227,0.0,NPC,low,low
GEMIN5,0.211,0.286,0.048,0.048,0.048,AC,0.238,0.273,0.364,0.318,0.364,0.273,NPC,low,low
GRIN3B,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
INPP5E,0.211,0.095,0.095,0.048,0.048,MES,0.163,0.091,0.227,0.136,0.136,0.091,NPC,low,low
LAMA4,0.053,0.19,0.143,0.048,0.048,MES,0.143,0.318,0.5,0.5,0.591,0.318,NPC,low,low
LRRK1,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.136,0.045,0.091,0.0,0.0,MES,low,low
MCM6,0.263,0.333,0.143,0.19,0.143,AC,0.19,0.364,0.5,0.227,0.409,0.227,AC,low,low
MEGF6,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
NSUN6,0.211,0.238,0.19,0.19,0.19,AC,0.048,0.727,0.727,0.727,0.636,0.636,MES,low,moderate
NTPCR,0.684,0.762,0.619,0.714,0.619,AC,0.143,0.636,0.818,0.864,0.682,0.636,NPC,moderate,moderate
PCDHGA2,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
PLCH1,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.045,0.0,0.0,NPC,low,low
PTPN11,0.368,0.476,0.381,0.286,0.286,MES,0.19,0.773,0.909,0.864,0.864,0.773,NPC,low,high
SEMA6A,0.526,0.381,0.381,0.048,0.048,MES,0.479,0.636,0.818,0.818,0.5,0.5,MES,low,moderate
SOX10,0.0,0.524,0.0,0.048,0.0,NPC,0.524,0.273,0.455,0.227,0.182,0.182,MES,low,low
SOX9,0.421,0.429,0.429,0.333,0.333,MES,0.095,0.682,0.864,0.818,0.682,0.682,NPC,low,moderate
SPEN,0.421,0.381,0.381,0.381,0.381,OPC,0.04,0.818,0.818,0.864,0.909,0.818,NPC,low,high
SPIRE1,0.263,0.381,0.286,0.095,0.095,MES,0.286,0.5,0.727,0.727,0.636,0.5,NPC,low,moderate
SYNE1,0.316,0.381,0.333,0.19,0.19,MES,0.19,0.636,0.818,0.818,0.818,0.636,NPC,low,moderate
TMC7,0.053,0.143,0.048,0.048,0.048,AC,0.095,0.0,0.182,0.091,0.0,0.0,NPC,low,low
TRERF1,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.045,0.045,0.0,0.0,NPC,low,low
ZSCAN12,0.053,0.0,0.0,0.0,0.0,OPC,0.053,0.136,0.136,0.091,0.091,0.091,AC,low,low
