"gene","wang_NPC","wang_OPC","wang_AC","wang_MES","wang_SRI","wang_worst_state"
"SPEN",0.818,0.818,0.864,0.909,0.818,"NPC"
"SPIRE1",0.5,0.727,0.727,0.636,0.5,"NPC"
"SRCIN1",0.182,0.318,0.182,0,0,"MES"
"ST3GAL5",0.727,0.864,0.818,0.727,0.727,"NPC"
"ST6GALNAC1",0,0,0,0.045,0,"NPC"
"STK24",0.591,0.636,0.636,0.773,0.591,"NPC"
"STPG1",0,0.091,0.091,0.045,0,"NPC"
"STRADB",0.409,0.636,0.636,0.636,0.409,"NPC"
"SUGT1",0.773,0.864,0.818,0.773,0.773,"NPC"
"SUPV3L1",0.273,0.318,0.273,0.136,0.136,"MES"
"SYNE1",0.636,0.818,0.818,0.818,0.636,"NPC"
"SYNE2",0.818,0.727,0.727,0.727,0.727,"OPC"
"SYTL4",0.091,0.273,0.545,0.273,0.091,"NPC"
"TANC1",0.591,0.773,0.773,0.727,0.591,"NPC"
"TAT",0,0,0,0,0,"NPC"
"TBC1D22B",0.045,0,0,0.045,0,"OPC"
"TECTA",0,0,0,0,0,"NPC"
"TEP1",0.045,0.045,0.136,0.091,0.045,"NPC"
"TJP3",0,0,0,0,0,"NPC"
"TLN1",0.955,0.864,0.909,0.909,0.864,"OPC"
"TMC7",0,0.182,0.091,0,0,"NPC"
"TMCO3",0.591,0.818,0.727,0.727,0.591,"NPC"
"TMEM150B",0,0,0,0,0,"NPC"
"TMEM38A",0.045,0,0.045,0,0,"OPC"
"TMEM52B",0.091,0,0,0,0,"OPC"
"TNFSF12",0.182,0.455,0.545,0.591,0.182,"NPC"
"TNK2",0.682,0.864,0.591,0.318,0.318,"MES"
"TOLLIP",0.545,0.773,0.773,0.773,0.545,"NPC"
"TP53",0.591,0.5,0.591,0.545,0.5,"OPC"
"TPSB2",0,0,0,0.045,0,"NPC"
"TRERF1",0,0.045,0.045,0,0,"NPC"
"TRPA1",0,0,0,0,0,"NPC"
"TUBA8",0,0,0,0,0,"NPC"
"USH2A",0,0,0,0,0,"NPC"
"USP24",0.409,0.5,0.409,0.455,0.409,"NPC"
"USP42",0.455,0.682,0.591,0.5,0.455,"NPC"
"USP51",0.182,0.227,0.136,0.136,0.136,"AC"
"WDFY3",0.591,0.773,0.909,0.727,0.591,"NPC"
"WDR45",0.591,0.727,0.727,0.818,0.591,"NPC"
"WSB1",0.955,0.864,1,0.955,0.864,"OPC"
"XRN1",0.682,0.727,0.591,0.682,0.591,"AC"
"XYLT1",0.318,0.455,0.136,0.091,0.091,"MES"
"ZBTB21",0.364,0.5,0.545,0.591,0.364,"NPC"
"ZBTB46",0.045,0,0,0.091,0,"OPC"
"ZC3H7A",0.818,0.818,0.818,0.818,0.818,"NPC"
"ZC3HC1",0.318,0.273,0.364,0.227,0.227,"MES"
"ZCCHC14",0.5,0.682,0.5,0.409,0.409,"MES"
"ZFC3H1",0.864,0.818,0.864,0.818,0.818,"OPC"
"ZIM2",0,0,0,0,0,"NPC"
"ZNF215",0.045,0,0,0,0,"OPC"
"ZNF224",0.591,0.682,0.682,0.727,0.591,"NPC"
"ZNF408",0.136,0.091,0.136,0.136,0.091,"OPC"
"ZNF440",0.045,0.091,0,0,0,"AC"
"ZNF513",0.045,0.136,0.182,0.091,0.045,"NPC"
"ZNF528",0.545,0.682,0.636,0.682,0.545,"NPC"
"ZNF562",0.864,0.727,0.818,0.864,0.727,"OPC"
"ZSCAN12",0.136,0.136,0.091,0.091,0.091,"AC"
